	BACasv1	BACasv3	BACasv4	BACasv7	BACasv8	BACasv11	BACasv12	BACasv13	BACasv14	BACasv17	BACasv20	BACasv21	BACasv22	BACasv23	BACasv24	BACasv25	BACasv27	BACasv28	BACasv29	BACasv30	BACasv31	BACasv32	BACasv33	BACasv35	BACasv36	BACasv37	BACasv38	BACasv39	BACasv40	BACasv41	BACasv42	BACasv45	BACasv46	BACasv47	BACasv48	BACasv49	BACasv50	BACasv53	BACasv54	BACasv56	BACasv58	BACasv60	BACasv61	BACasv65	BACasv67	BACasv69	BACasv70	BACasv71	BACasv73	BACasv76	BACasv77	BACasv78	BACasv80	BACasv87	BACasv89	BACasv90	BACasv92	BACasv93	BACasv94	BACasv96	BACasv99	BACasv100	BACasv101	BACasv102	BACasv105	BACasv106	BACasv112	BACasv113	BACasv114	BACasv118	BACasv120	BACasv123	BACasv124	BACasv128	BACasv129	BACasv139	BACasv140	BACasv143	BACasv145	BACasv146	BACasv148	BACasv153	BACasv154	BACasv156	BACasv168	BACasv173	BACasv175	BACasv176	BACasv177	BACasv182	BACasv183	BACasv187	BACasv188	BACasv192	BACasv194	BACasv195	BACasv207	BACasv212	BACasv213	BACasv221	BACasv236	BACasv237	BACasv251	BACasv257	BACasv261	BACasv267	BACasv268	BACasv276	BACasv285	BACasv288	BACasv295	BACasv305	BACasv316	BACasv317	BACasv324	BACasv331	BACasv352	BACasv374	BACasv389	BACasv413	BACasv421	BACasv426	BACasv440	BACasv442	BACasv450	BACasv451	BACasv455	BACasv489	BACasv492	BACasv514	BACasv522	BACasv562	BACasv579	BACasv580	BACasv581	BACasv597	BACasv620	BACasv644	BACasv672	BACasv708	BACasv889	BACasv890	BACasv986
BACasv61	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv65	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv69	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv71	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv73	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv76	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv77	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv78	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv80	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv89	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv90	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv92	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv93	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BACasv96	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv99	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv100	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv101	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv105	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv106	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1
BACasv114	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv120	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv124	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv129	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv139	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv140	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1
BACasv146	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv148	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv153	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv154	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv156	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
